ocean,numCycl,year,name,numTrcks,yearTrck,monthTrck,dayTrck,hourTrck,minutsTrck,recordId,statusSys,latitude,longitude,maxSustWin,minPress,34ktNE,34ktSE,34ktSW,34ktNW,50ktNE,50ktSE,50ktSW,50ktNW,64ktNE,64ktSE,64ktSW,64ktNW,radMaxWind
EP,01,1949,UNNAMED,7,1949,06,11,00,00,N/A,TS,20.2,-106.3,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,01,1949,UNNAMED,7,1949,06,11,06,00,N/A,TS,20.2,-106.4,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,01,1949,UNNAMED,7,1949,06,11,12,00,N/A,TS,20.2,-106.7,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,01,1949,UNNAMED,7,1949,06,11,18,00,N/A,TS,20.3,-107.7,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,01,1949,UNNAMED,7,1949,06,12,00,00,N/A,TS,20.4,-108.6,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,01,1949,UNNAMED,7,1949,06,12,06,00,N/A,TS,20.5,-109.4,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,01,1949,UNNAMED,7,1949,06,12,12,00,N/A,TS,20.6,-110.2,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,17,12,00,N/A,TS,14.1,-107.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,17,18,00,N/A,TS,14.6,-107.7,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,18,00,00,N/A,TS,15.0,-108.4,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,18,06,00,N/A,TS,15.4,-109.2,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,18,12,00,N/A,TS,15.7,-110.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,18,18,00,N/A,TS,16.0,-110.8,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,19,00,00,N/A,TS,16.3,-111.6,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,19,06,00,N/A,TS,16.7,-112.3,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,19,12,00,N/A,TS,17.1,-112.9,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,19,18,00,N/A,TS,17.5,-113.5,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,20,00,00,N/A,TS,18.0,-114.1,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,20,06,00,N/A,TS,18.4,-114.6,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,20,12,00,N/A,TS,18.9,-115.1,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,20,18,00,N/A,TS,19.4,-115.6,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,21,00,00,N/A,TS,19.9,-116.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,21,06,00,N/A,TS,20.4,-116.4,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,21,12,00,N/A,TS,21.0,-116.7,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,21,18,00,N/A,TS,21.5,-117.1,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,22,00,00,N/A,TS,22.0,-117.5,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,22,06,00,N/A,TS,22.5,-117.8,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,22,12,00,N/A,TS,23.1,-118.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,22,18,00,N/A,TS,23.9,-118.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,23,00,00,N/A,TS,24.7,-117.7,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,23,06,00,N/A,TS,25.4,-117.4,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,02,1949,UNNAMED,25,1949,06,23,12,00,N/A,TS,26.0,-117.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,03,12,00,N/A,TS,17.3,-106.3,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,03,18,00,N/A,TS,17.6,-106.6,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,04,00,00,N/A,TS,17.9,-106.8,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,04,06,00,N/A,TS,18.4,-106.8,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,04,12,00,N/A,TS,18.8,-106.9,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,04,18,00,N/A,TS,18.9,-106.9,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,05,00,00,N/A,TS,19.0,-107.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,05,06,00,N/A,TS,19.0,-107.1,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,05,12,00,N/A,TS,19.1,-107.2,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,05,18,00,N/A,TS,19.6,-107.9,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,06,00,00,N/A,TS,20.2,-108.8,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,06,06,00,N/A,TS,20.7,-109.4,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
EP,03,1949,UNNAMED,25,1949,09,06,12,00,N/A,TS,21.2,-110.0,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
